                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.80059,                0.92341,                0.48212,                0.87821,                 0.9277,                 0.8987,                 0.9719,                0.80324,                 0.9253,                0.88161,                0.95747,                0.61147,                0.64901,                0.80862,                0.40092,                0.84268,               0.002179,               0.002179,               0.002179
                     81,                0.79807,                0.92093,                0.47994,                0.87659,                 0.9273,                0.89999,                0.97216,                0.80442,                0.92496,                0.88279,                0.95783,                 0.6122,                0.64702,                  0.806,                0.39944,                0.84223,                0.00208,                0.00208,                0.00208
                     82,                0.78825,                0.91116,                0.47128,                0.87414,                0.92766,                0.90032,                0.97234,                0.80517,                0.92425,                0.88395,                0.95797,                0.61248,                0.64589,                0.80482,                0.39841,                0.84194,               0.001981,               0.001981,               0.001981
                     83,                 0.7905,                 0.9097,                0.47288,                0.87472,                0.92622,                0.90258,                0.97252,                0.80578,                0.92552,                0.88378,                0.95842,                0.61277,                0.64468,                0.80431,                 0.3974,                0.84169,               0.001882,               0.001882,               0.001882
                     84,                0.78107,                0.90126,                0.46732,                 0.8723,                 0.9269,                 0.9031,                0.97274,                0.80661,                0.92535,                0.88433,                0.95861,                0.61286,                0.64302,                0.80249,                0.39631,                0.84124,               0.001783,               0.001783,               0.001783
                     85,                0.77662,                0.89544,                0.46161,                0.87162,                0.92704,                0.90379,                0.97307,                 0.8077,                0.92581,                0.88492,                0.95854,                0.61284,                 0.6413,                0.79903,                 0.3948,                0.84078,               0.001684,               0.001684,               0.001684
                     86,                0.76981,                0.88678,                0.45747,                0.87025,                  0.928,                0.90489,                0.97337,                0.80886,                0.92636,                0.88577,                0.95884,                0.61356,                0.63922,                0.79525,                0.39365,                0.84028,               0.001585,               0.001585,               0.001585
                     87,                0.76633,                0.88511,                0.45728,                0.87018,                0.92748,                0.90691,                0.97368,                0.80999,                0.92643,                0.88703,                0.95936,                0.61432,                0.63733,                0.79167,                0.39211,                0.83978,               0.001486,               0.001486,               0.001486
                     88,                0.75827,                0.87396,                0.45199,                0.86823,                0.92766,                0.90812,                0.97407,                0.81147,                0.92728,                0.88742,                0.95984,                 0.6154,                0.63467,                0.78783,                0.39002,                0.83903,               0.001387,               0.001387,               0.001387
                     89,                0.75397,                0.86564,                0.44742,                0.86696,                0.92711,                0.90925,                0.97428,                0.81246,                0.92714,                0.88811,                0.95972,                0.61588,                0.63302,                0.78563,                0.38833,                0.83856,               0.001288,               0.001288,               0.001288
